stargazers_count,pushed_days_ago,created_days_ago,count_files,commits,ql,count_developers,count_methods,forks_count,origin,address,default_branch,updated_days_ago,exception,files,methods,is_sparql,n_sha_query,active_developers,active_files,active_methods,query_activity,query_commits
2,34,114,1682.0,106.0,sparql,4.0,1134.0,0,org.apache.jena+jena-filename:pom.xml,malyvoj3/csvw-validator,master,34,,1682.0,1134.0,1,,0.0,0.0,0.0,0.0,0.0
0,324,378,116.0,18.0,cypher,4.0,110.0,0,org.neo4j+neo4j-filename:pom.xml,724399396/spring-learn,master,324,,116.0,110.0,0,,0.0,0.0,0.0,0.0,0.0
13,1955,2071,71.0,61.0,cypher,5.0,181.0,7,org.neo4j+neo4j-extension:gradle,technige/load2neo,master,1457,,71.0,181.0,0,,0.0,0.0,0.0,0.0,0.0
0,13,361,1024.0,945.0,cypher,17.0,3834.0,0,org.neo4j+neo4j-filename:pom.xml,jqara/jqa-core-framework,master,13,,1024.0,3834.0,0,53.0,4.0,0.0,22.0,0.056084656084656084,53.0
0,364,606,15.0,4.0,sparql,1.0,8.0,0,org.apache.jena+jena-filename:pom.xml,graphook/graphapi,master,364,,15.0,8.0,1,,0.0,0.0,0.0,0.0,0.0
0,2051,2173,4463.0,10.0,cypher,1.0,1447.0,1,org.neo4j+neo4j-filename:pom.xml,ksjeyabarani/Java,master,2051,,4463.0,1447.0,0,,0.0,0.0,0.0,0.0,0.0
0,28,29,119.0,19.0,cypher,2.0,434.0,0,org.neo4j+neo4j-filename:pom.xml,dj714330240/oom,master,28,,119.0,434.0,0,,0.0,0.0,0.0,0.0,0.0
0,95,95,3717.0,4.0,cypher,2.0,12218.0,0,org.neo4j+neo4j-filename:pom.xml,daveherzig/swe_doc,master,95,,3717.0,12218.0,0,1.0,1.0,0.0,3.0,0.25,1.0
0,547,551,42.0,3.0,cypher,1.0,23.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+neo4j-cypher-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,davidfauth/configurator,master,547,,42.0,23.0,0,,0.0,0.0,0.0,0.0,0.0
0,90,99,5803.0,7.0,cypher,3.0,26196.0,1,org.neo4j+neo4j-filename:pom.xml & org.neo4j.doc+neo4j-filename:pom.xml,VodQA2019Jenkins/1-Freestyle-Project,master,90,,5803.0,26196.0,0,,0.0,0.0,0.0,0.0,0.0
0,1892,1893,10.0,6.0,cypher,1.0,19.0,0,org.neo4j+neo4j-filename:pom.xml,lwid/fwcheck,master,1892,,10.0,19.0,0,,0.0,0.0,0.0,0.0,0.0
2,1051,1301,193.0,148.0,sparql,5.0,417.0,0,org.openrdf.sesame+sesame-filename:pom.xml & org.openrdf.sesame+sesame-queryparser-sparql-filename:pom.xml & org.openrdf.openrdf.sesame+sesame-queryparser-sparql-filename:pom.xml,poolparty-team/PP-UnifiedViews-Plugins,master,804,,193.0,417.0,1,2.0,2.0,0.0,1.0,0.013513513513513514,2.0
0,1825,1833,40.0,19.0,sparql,2.0,67.0,0,org.openrdf.sesame+sesame-filename:pom.xml,arjamizo/openrdf-parser,master,1825,,40.0,67.0,1,1.0,1.0,0.0,1.0,0.05263157894736842,1.0
0,2007,2015,274.0,7.0,cypher,1.0,102.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+neo4j-cypher-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,viorelt/spring-social-koan,master,2007,,274.0,102.0,0,,0.0,0.0,0.0,0.0,0.0
0,794,795,128.0,4.0,cypher,2.0,29.0,0,org.neo4j+neo4j-filename:pom.xml,tanvishukla/NTrusted-Trust-Based-Recommendation-App,master,794,,128.0,29.0,0,,0.0,0.0,0.0,0.0,0.0
0,412,481,47.0,39.0,cypher,7.0,24.0,1,org.neo4j+neo4j-filename:pom.xml & org.neo4j+neo4j-cypher-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,L-Shin/neo4j-linreg-procedure,3.1,412,,47.0,24.0,0,16.0,2.0,0.0,4.0,0.41025641025641024,16.0
0,2,20,57.0,54.0,cypher,6.0,162.0,0,org.neo4j+neo4j-filename:pom.xml,Evantastic/serverBackendGrupo3,master,2,,57.0,162.0,0,,0.0,0.0,0.0,0.0,0.0
0,76,76,627.0,2.0,sparql,1.0,342.0,0,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml & org.eclipse.rdf4j+rdf4j-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,Kpal22/quizify,master,76,,627.0,342.0,1,1.0,1.0,0.0,3.0,0.5,1.0
0,2038,2221,286.0,63.0,sparql,3.0,2483.0,0,org.apache.jena+jena-filename:pom.xml,h2nguyen/imeji_ingest_converter,master,2038,,286.0,2483.0,1,,0.0,0.0,0.0,0.0,0.0
0,1328,1328,19.0,5.0,cypher,2.0,26.0,0,org.neo4j+neo4j-filename:pom.xml,xrodrigo1982x/microservices-follow,master,1328,,19.0,26.0,0,,0.0,0.0,0.0,0.0,0.0
0,1400,1400,16.0,5.0,cypher,1.0,27.0,0,org.neo4j+neo4j-extension:gradle,sagar-inbetween/SampleCode,master,1400,,16.0,27.0,0,,0.0,0.0,0.0,0.0,0.0
52,1092,2494,284.0,22.0,sparql,3.0,404.0,24,org.apache.jena+jena-arq-extension:gradle & org.apache.jena+jena-extension:gradle,jprante/elasticsearch-analysis-skos,master,56,,284.0,404.0,1,,0.0,0.0,0.0,0.0,0.0
335,290,2155,9262.0,5858.0,sparql,21.0,16907.0,152,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-iri-filename:pom.xml,jaeksoft/opensearchserver,master,4,,9262.0,16907.0,1,,0.0,0.0,0.0,0.0,0.0
0,1028,1028,91.0,15.0,cypher,4.0,129.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,cartooth/locomotive-ingestion,master,1028,,91.0,129.0,0,,0.0,0.0,0.0,0.0,0.0
0,442,442,5.0,3.0,cypher,2.0,5.0,0,org.neo4j+neo4j-filename:pom.xml,linzeqipku/docx-to-neo4j,master,441,,5.0,5.0,0,,0.0,0.0,0.0,0.0,0.0
0,796,997,31.0,14.0,cypher,3.0,216.0,0,org.neo4j+neo4j-filename:pom.xml,spomegasystems/Reco,master,997,,31.0,216.0,0,3.0,2.0,0.0,6.0,0.21428571428571427,3.0
0,1772,1821,26.0,13.0,cypher,3.0,36.0,0,org.neo4j+neo4j-filename:pom.xml,ahapune/mahout,master,1807,,26.0,36.0,0,,0.0,0.0,0.0,0.0,0.0
0,155,2065,19.0,59.0,sparql,13.0,161.0,2,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,fcrepo4-archive/benchtool,master,155,,19.0,161.0,1,,0.0,0.0,0.0,0.0,0.0
0,274,274,19.0,4.0,cypher,1.0,26.0,0,org.neo4j+neo4j-filename:pom.xml,danisrichard/Spring-Boot-Hateoas-Application,master,274,,19.0,26.0,0,,0.0,0.0,0.0,0.0,0.0
0,858,859,43.0,4.0,cypher,1.0,20.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,ismaelaraujo/posUnipe,master,858,,43.0,20.0,0,,0.0,0.0,0.0,0.0,0.0
0,1,4,98.0,16.0,sparql,3.0,21.0,0,org.apache.jena+jena-filename:pom.xml,vroddon/ciberseguridad,master,1,,98.0,21.0,1,3.0,1.0,0.0,2.0,0.1875,3.0
0,1115,1115,4.0,2.0,sparql,1.0,9.0,0,org.apache.jena+jena-filename:build.xml,p3ach/iungo-api,master,1115,,4.0,9.0,1,,0.0,0.0,0.0,0.0,0.0
0,1071,1091,41.0,9.0,cypher,1.0,52.0,0,org.neo4j+neo4j-filename:pom.xml,alex-moon/noise-neo4j,master,1087,,41.0,52.0,0,,0.0,0.0,0.0,0.0,0.0
19,1133,2898,362.0,74.0,sparql,13.0,535.0,11,org.apache.stanbol+org.apache.stanbol-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,zaizi/apache-stanbol-client,master,757,,362.0,535.0,1,,0.0,0.0,0.0,0.0,0.0
0,616,664,36.0,21.0,cypher,2.0,88.0,0,org.neo4j+neo4j-filename:pom.xml,yangguangjun123/sentimentengine,master,664,,36.0,88.0,0,,0.0,0.0,0.0,0.0,0.0
0,334,336,333.0,3.0,cypher,1.0,467.0,0,org.neo4j+neo4j-extension:gradle,anklavez/gateway,master,334,,333.0,467.0,0,,0.0,0.0,0.0,0.0,0.0
0,1364,1534,42.0,25.0,cypher,1.0,133.0,0,org.neo4j+neo4j-filename:pom.xml,clemble/player-connection,master,1379,,42.0,133.0,0,,0.0,0.0,0.0,0.0,0.0
0,2,15,208.0,15.0,sparql,2.0,248.0,0,org.eclipse.rdf4j+rdf4j-filename:pom.xml,lalenzos/dain-project,master,2,,208.0,248.0,1,7.0,1.0,0.0,21.0,0.4666666666666667,7.0
0,916,2030,43.0,26.0,sparql,3.0,41.0,0,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,rwalpole/elda-extension,master,1216,,43.0,41.0,1,3.0,1.0,0.0,1.0,0.11538461538461539,3.0
0,181,182,11.0,6.0,sparql,1.0,2.0,0,org.eclipse.rdf4j+rdf4j-extension:gradle,sharknc/rdf4j-function-palindrome,master,181,,11.0,2.0,1,,0.0,0.0,0.0,0.0,0.0
0,51,1458,11942.0,1891.0,sparql,15.0,5811.0,0,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,jimmccusker/sadi,master,51,,11942.0,5811.0,1,109.0,4.0,48.0,49.0,0.05764145954521417,109.0
7,225,1160,212.0,161.0,sparql,6.0,81.0,3,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.marmotta+marmotta-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,dice-group/GENESIS,master,341,,212.0,81.0,1,7.0,2.0,0.0,7.0,0.043478260869565216,7.0
0,185,1114,52.0,19.0,sparql,3.0,18.0,1,org.apache.jena+jena-core-extension:gradle & org.apache.jena+jena-arq-extension:gradle & org.apache.jena+jena-extension:gradle,mcanalesmayo/FujitsuHackathon,master,185,,52.0,18.0,1,5.0,1.0,0.0,1.0,0.2631578947368421,5.0
0,1405,1405,401.0,2.0,cypher,1.0,237.0,0,org.neo4j+neo4j-filename:pom.xml,kamakinto/worksBeyondv2,master,1405,,401.0,237.0,0,,0.0,0.0,0.0,0.0,0.0
0,1154,1241,576.0,32.0,cypher,1.0,501.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,dmgn/floatinvoice,master,1205,,576.0,501.0,0,,0.0,0.0,0.0,0.0,0.0
0,42,356,402.0,75.0,cypher,4.0,308.0,1,org.neo4j+neo4j-filename:pom.xml,newlight77/oneprofile-admin,master,42,,402.0,308.0,0,,0.0,0.0,0.0,0.0,0.0
0,47,47,159.0,10.0,sparql,2.0,797.0,0,org.openrdf.sesame+sesame-filename:pom.xml,SHi-ON/Wheatly,master,47,,159.0,797.0,1,,0.0,0.0,0.0,0.0,0.0
0,2423,2423,11.0,2.0,sparql,1.0,2.0,0,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,vijithaepa/JQuery-Ajax-Java-Json-Simple,master,1961,,11.0,2.0,1,,0.0,0.0,0.0,0.0,0.0
